"20210625T",0,0,0,0,0
"20210626T",0,0,0,0,0
"20210627T",0,0,0,0,0
"20210628T",0,0,0,0,0
"20210629T",0,0,0,0,0
"20210630T",1,1,1,1,0
"20210701T",1,1,1,1,0
"20210702T",1,1,1,1,0
"20210703T",0,0,0,0,0
"20210704T",0,0,0,0,0
"20210705T",0,0,0,0,0
"20210706T",0,0,0,0,0
"20210707T",0,0,0,0,0
"20210708T",0,0,0,0,0
"20210709T",0,0,0,0,0
"20210710T",0,0,0,0,0
"20210711T",0,0,0,0,0
"20210712T",0,0,0,0,0
"20210713T",1,1,1,1,0
"20210714T",1,1,1,1,0
"20210715T",1,1,1,1,0
"20210716T",0,0,0,0,0
"20210717T",0,0,0,0,0
"20210718T",0,0,0,0,0
"20210719T",0,0,0,0,0
"20210720T",0,0,0,0,0
"20210721T",0,0,0,0,0
"20210722T",0,0,0,0,0
"20210723T",0,0,0,0,0
"20210724T",0,0,0,0,0
"20210725T",0,0,0,0,0
"20210726T",0,0,0,0,0
"20210727T",0,0,0,0,0
"20210728T",0,0,0,0,0
"20210729T",0,0,0,0,0
"20210730T",1,1,1,1,0
"20210731T",1,1,1,1,0
"20210801T",1,1,1,1,0
"20210802T",1,1,1,1,0
"20210803T",1,1,1,1,0
"20210804T",0,0,0,0,0
"20210805T",0,0,0,0,0
"20210806T",0,0,0,0,0
"20210807T",0,0,0,0,0
"20210808T",0,0,0,0,0
"20210809T",0,0,0,0,0
"20210810T",1,1,1,1,0
"20210811T",1,1,1,1,0
"20210812T",1,1,1,1,0
"20210813T",0,0,0,0,0
"20210814T",0,0,0,0,0
"20210815T",0,0,0,0,0
"20210816T",0,0,0,0,0
"20210817T",0,0,0,0,0
"20210818T",0,0,0,0,0
"20210819T",0,0,0,0,0
"20210820T",0,0,0,0,0
"20210821T",0,0,0,0,0
"20210822T",0,0,0,0,0
"20210823T",0,0,0,0,0
"20210824T",0,0,0,0,0
"20210825T",0,0,0,0,0
"20210826T",0,0,0,0,0
"20210827T",0,0,0,0,0
"20210828T",0,0,0,0,0
"20210829T",0,0,0,0,0
"20210830T",0,0,0,0,0
"20210831T",1,1,1,1,0
"20210901T",1,1,1,1,0
"20210902T",1,1,1,1,0
"20210903T",0,0,0,0,0
"20210904T",0,0,0,0,0
"20210905T",0,0,0,0,0
"20210906T",0,0,0,0,0
"20210907T",0,0,0,0,0
"20210908T",0,0,0,0,0
"20210909T",0,0,0,0,0
"20210910T",0,0,0,0,0
"20210911T",0,0,0,0,0
"20210912T",0,0,0,0,0
"20210913T",0,0,0,0,0
"20210914T",1,1,1,1,0
"20210915T",1,1,1,1,0
"20210916T",1,1,1,1,0
"20210917T",0,0,0,0,0
"20210918T",0,0,0,0,0
"20210919T",0,0,0,0,0
"20210920T",0,0,0,0,0
"20210921T",0,0,0,0,0
"20210922T",0,0,0,0,0
"20210923T",0,0,0,0,0
"20210924T",0,0,0,0,0
"20210925T",0,0,0,0,0
"20210926T",0,0,0,0,0
"20210927T",0,0,0,0,0
"20210928T",0,0,0,0,0
"20210929T",0,0,0,0,0
"20210930T",0,0,0,0,0
"20211001T",1,1,1,1,0
"20211002T",1,1,1,1,0
"20211003T",1,1,1,1,0
"20211004T",1,1,1,1,0
"20211005T",0,0,0,0,0
"20211006T",0,0,0,0,0
"20211007T",0,0,0,0,0
"20211008T",0,0,0,0,0
"20211009T",0,0,0,0,0
"20211010T",0,0,0,0,0
"20211011T",0,0,0,0,0
"20211012T",1,1,1,1,0
"20211013T",1,1,1,1,0
"20211014T",1,1,1,1,0
"20211015T",0,0,0,0,0
"20211016T",0,0,0,0,0
"20211017T",0,0,0,0,0
"20211018T",0,0,0,0,0
"20211019T",0,0,0,0,0
"20211020T",0,0,0,0,0
"20211021T",0,0,0,0,0
"20211022T",0,0,0,0,0
"20211023T",0,0,0,0,0
"20211024T",0,0,0,0,0
"20211025T",0,0,0,0,0
"20211026T",0,0,0,0,0
"20211027T",0,0,0,0,0
"20211028T",0,0,0,0,0
"20211029T",1,1,1,1,0
"20211030T",1,1,1,1,0
"20211031T",1,1,1,1,0
"20211101T",1,1,1,1,0
"20211102T",1,1,1,1,0
"20211103T",0,0,0,0,0
"20211104T",0,0,0,0,0
"20211105T",0,0,0,0,0
"20211106T",0,0,0,0,0
"20211107T",0,0,0,0,0
"20211108T",0,0,0,0,0
"20211109T",1,1,1,1,0
"20211110T",1,1,1,1,0
"20211111T",1,1,1,1,0
"20211112T",0,0,0,0,0
"20211113T",0,0,0,0,0
"20211114T",0,0,0,0,0
"20211115T",0,0,0,0,0
"20211116T",0,0,0,0,0
"20211117T",0,0,0,0,0
"20211118T",0,0,0,0,0
"20211119T",0,0,0,0,0
"20211120T",0,0,0,0,0
"20211121T",0,0,0,0,0
"20211122T",0,0,0,0,0
"20211123T",0,0,0,0,0
"20211124T",0,0,0,0,0
"20211125T",0,0,0,0,0
"20211126T",0,0,0,0,0
"20211127T",0,0,0,0,0
"20211128T",0,0,0,0,0
"20211129T",0,0,0,0,0
"20211130T",1,1,1,1,0
"20211201T",1,1,1,1,0
"20211202T",1,1,1,1,0
"20211203T",0,0,0,0,0
"20211204T",0,0,0,0,0
"20211205T",0,0,0,0,0
"20211206T",0,0,0,0,0
"20211207T",0,0,0,0,0
"20211208T",0,0,0,0,0
"20211209T",0,0,0,0,0
"20211210T",0,0,0,0,0
"20211211T",0,0,0,0,0
"20211212T",0,0,0,0,0
"20211213T",0,0,0,0,0
"20211214T",1,1,1,1,0
"20211215T",1,1,1,1,0
"20211216T",1,1,1,1,0
"20211217T",0,0,0,0,0
"20211218T",0,0,0,0,0
"20211219T",0,0,0,0,0
"20211220T",0,0,0,0,0
"20211221T",0,0,0,0,0
"20211222T",0,0,0,0,0
"20211223T",0,0,0,0,0
"20211224T",0,0,0,0,0
"20211225T",0,0,0,0,0
"20211226T",0,0,0,0,0
"20211227T",0,0,0,0,0
"20211228T",0,0,0,0,0
"20211229T",0,0,0,0,0
"20211230T",0,0,0,0,0
"20211231T",0,0,0,0,0
"20220101T",0,0,0,0,0
"20220102T",0,0,0,0,0
"20220103T",1,1,1,1,0
"20220104T",1,1,1,1,0
"20220105T",1,1,1,1,0
"20220106T",0,0,0,0,0
"20220107T",0,0,0,0,0
"20220108T",0,0,0,0,0
"20220109T",0,0,0,0,0
"20220110T",0,0,0,0,0
"20220111T",0,0,0,0,0
"20220112T",0,0,0,0,0
"20220113T",0,0,0,0,0
"20220114T",0,0,0,0,0
"20220115T",0,0,0,0,0
"20220116T",0,0,0,0,0
"20220117T",0,0,0,0,0
"20220118T",1,1,1,1,0
"20220119T",1,1,1,1,0
"20220120T",1,1,1,1,0
"20220121T",0,0,0,0,0
"20220122T",0,0,0,0,0
"20220123T",0,0,0,0,0
"20220124T",0,0,0,0,0
"20220125T",0,0,0,0,0
"20220126T",0,0,0,0,0
"20220127T",0,0,0,0,0
"20220128T",0,0,0,0,0
"20220129T",0,0,0,0,0
"20220130T",0,0,0,0,0
"20220131T",1,1,1,1,0
"20220201T",1,1,1,1,0
"20220202T",1,1,1,1,0
"20220203T",0,0,0,0,0
"20220204T",0,0,0,0,0
"20220205T",0,0,0,0,0
"20220206T",0,0,0,0,0
"20220207T",0,0,0,0,0
"20220208T",1,1,1,1,0
"20220209T",1,1,1,1,0
"20220210T",1,1,1,1,0
"20220211T",0,0,0,0,0
"20220212T",0,0,0,0,0
"20220213T",0,0,0,0,0
"20220214T",0,0,0,0,0
"20220215T",0,0,0,0,0
"20220216T",0,0,0,0,0
"20220217T",0,0,0,0,0
"20220218T",0,0,0,0,0
"20220219T",0,0,0,0,0
"20220220T",0,0,0,0,0
"20220221T",0,0,0,0,0
"20220222T",0,0,0,0,0
"20220223T",0,0,0,0,0
"20220224T",0,0,0,0,0
"20220225T",0,0,0,0,0
"20220226T",0,0,0,0,0
"20220227T",0,0,0,0,0
"20220228T",1,1,1,1,0
"20220301T",1,1,1,1,0
"20220302T",1,1,1,1,0
"20220303T",0,0,0,0,0
"20220304T",0,0,0,0,0
"20220305T",0,0,0,0,0
"20220306T",0,0,0,0,0
"20220307T",0,0,0,0,0
"20220308T",1,1,1,1,0
"20220309T",1,1,1,1,0
"20220310T",1,1,1,1,0
"20220311T",0,0,0,0,0
"20220312T",0,0,0,0,0
"20220313T",0,0,0,0,0
"20220314T",0,0,0,0,0
"20220315T",0,0,0,0,0
"20220316T",0,0,0,0,0
"20220317T",0,0,0,0,0
"20220318T",0,0,0,0,0
"20220319T",0,0,0,0,0
"20220320T",0,0,0,0,0
"20220321T",0,0,0,0,0
"20220322T",0,0,0,0,0
"20220323T",0,0,0,0,0
"20220324T",0,0,0,0,0
"20220325T",0,0,0,0,0
"20220326T",0,0,0,0,0
"20220327T",0,0,0,0,0
"20220328T",0,0,0,0,0
"20220329T",0,0,0,0,0
"20220330T",0,0,0,0,0
"20220331T",0,0,0,0,0
"20220401T",1,1,1,1,0
"20220402T",1,1,1,1,0
"20220403T",1,1,1,1,0
"20220404T",1,1,1,1,0
"20220405T",0,0,0,0,0
"20220406T",0,0,0,0,0
"20220407T",0,0,0,0,0
"20220408T",0,0,0,0,0
"20220409T",0,0,0,0,0
"20220410T",0,0,0,0,0
"20220411T",0,0,0,0,0
"20220412T",1,1,1,1,0
"20220413T",1,1,1,1,0
"20220414T",1,1,1,1,0
"20220415T",0,0,0,0,0
"20220416T",0,0,0,0,0
"20220417T",0,0,0,0,0
"20220418T",0,0,0,0,0
"20220419T",0,0,0,0,0
"20220420T",0,0,0,0,0
"20220421T",0,0,0,0,0
"20220422T",0,0,0,0,0
"20220423T",0,0,0,0,0
"20220424T",0,0,0,0,0
"20220425T",0,0,0,0,0
"20220426T",0,0,0,0,0
"20220427T",0,0,0,0,0
"20220428T",0,0,0,0,0
"20220429T",0,0,0,0,0
"20220430T",0,0,0,0,0
"20220501T",0,0,0,0,0
"20220502T",0,0,0,0,0
"20220503T",0,0,0,0,0
"20220504T",1,1,1,1,0
"20220505T",1,1,1,1,0
"20220506T",1,1,1,1,0
"20220507T",0,0,0,0,0
"20220508T",0,0,0,0,0
"20220509T",0,0,0,0,0
"20220510T",1,1,1,1,0
"20220511T",1,1,1,1,0
"20220512T",1,1,1,1,0
"20220513T",0,0,0,0,0
"20220514T",0,0,0,0,0
"20220515T",0,0,0,0,0
"20220516T",0,0,0,0,0
"20220517T",0,0,0,0,0
"20220518T",0,0,0,0,0
"20220519T",0,0,0,0,0
"20220520T",0,0,0,0,0
"20220521T",0,0,0,0,0
"20220522T",0,0,0,0,0
"20220523T",0,0,0,0,0
"20220524T",0,0,0,0,0
"20220525T",0,0,0,0,0
"20220526T",0,0,0,0,0
"20220527T",0,0,0,0,0
"20220528T",0,0,0,0,0
"20220529T",0,0,0,0,0
"20220530T",0,0,0,0,0
"20220531T",1,1,1,1,0
"20220601T",1,1,1,1,0
"20220602T",1,1,1,1,0
"20220603T",0,0,0,0,0
"20220604T",0,0,0,0,0
"20220605T",0,0,0,0,0
"20220606T",0,0,0,0,0
"20220607T",0,0,0,0,0
"20220608T",0,0,0,0,0
"20220609T",0,0,0,0,0
"20220610T",0,0,0,0,0
"20220611T",0,0,0,0,0
"20220612T",0,0,0,0,0
"20220613T",0,0,0,0,0
"20220614T",1,1,1,1,0
"20220615T",1,1,1,1,0
"20220616T",1,1,1,1,0
"20220617T",0,0,0,0,0
"20220618T",0,0,0,0,0
"20220619T",0,0,0,0,0
"20220620T",0,0,0,0,0
"20220621T",0,0,0,0,0
"20220622T",0,0,0,0,0
"20220623T",0,0,0,0,0
"20220624T",0,0,0,0,0
"20220625T",0,0,0,0,0
"20220626T",0,0,0,0,0
"20220627T",0,0,0,0,0
"20220628T",0,0,0,0,0
"20220629T",0,0,0,0,0
"20220630T",0,0,0,0,0
"20220701T",1,1,1,1,0
"20220702T",1,1,1,1,0
"20220703T",1,1,1,1,0
"20220704T",1,1,1,1,0
"20220705T",0,0,0,0,0
"20220706T",0,0,0,0,0
"20220707T",0,0,0,0,0
"20220708T",0,0,0,0,0
"20220709T",0,0,0,0,0
"20220710T",0,0,0,0,0
"20220711T",0,0,0,0,0
"20220712T",1,1,1,1,0
"20220713T",1,1,1,1,0
"20220714T",1,1,1,1,0
"20220715T",0,0,0,0,0
"20220716T",0,0,0,0,0
"20220717T",0,0,0,0,0
"20220718T",0,0,0,0,0
"20220719T",0,0,0,0,0
"20220720T",0,0,0,0,0
"20220721T",0,0,0,0,0
"20220722T",0,0,0,0,0
"20220723T",0,0,0,0,0
"20220724T",0,0,0,0,0
"20220725T",0,0,0,0,0
"20220726T",0,0,0,0,0
"20220727T",0,0,0,0,0
"20220728T",0,0,0,0,0
"20220729T",1,1,1,1,0
"20220730T",1,1,1,1,0
"20220731T",1,1,1,1,0
"20220801T",1,1,1,1,0
"20220802T",1,1,1,1,0
"20220803T",0,0,0,0,0
"20220804T",0,0,0,0,0
"20220805T",0,0,0,0,0
"20220806T",0,0,0,0,0
"20220807T",0,0,0,0,0
"20220808T",0,0,0,0,0
"20220809T",1,1,1,1,0
"20220810T",1,1,1,1,0
"20220811T",1,1,1,1,0
"20220812T",0,0,0,0,0
"20220813T",0,0,0,0,0
"20220814T",0,0,0,0,0
"20220815T",0,0,0,0,0
"20220816T",0,0,0,0,0
"20220817T",0,0,0,0,0
"20220818T",0,0,0,0,0
"20220819T",0,0,0,0,0
"20220820T",0,0,0,0,0
"20220821T",0,0,0,0,0
"20220822T",0,0,0,0,0
"20220823T",0,0,0,0,0
"20220824T",0,0,0,0,0
"20220825T",0,0,0,0,0
"20220826T",0,0,0,0,0
"20220827T",0,0,0,0,0
"20220828T",0,0,0,0,0
"20220829T",0,0,0,0,0
"20220830T",0,0,0,0,0
"20220831T",1,1,1,1,0
"20220901T",1,1,1,1,0
"20220902T",1,1,1,1,0
"20220903T",0,0,0,0,0
"20220904T",0,0,0,0,0
"20220905T",0,0,0,0,0
"20220906T",0,0,0,0,0
"20220907T",0,0,0,0,0
"20220908T",0,0,0,0,0
"20220909T",0,0,0,0,0
"20220910T",0,0,0,0,0
"20220911T",0,0,0,0,0
"20220912T",0,0,0,0,0
"20220913T",1,1,1,1,0
"20220914T",1,1,1,1,0
"20220915T",1,1,1,1,0
"20220916T",0,0,0,0,0
"20220917T",0,0,0,0,0
"20220918T",0,0,0,0,0
"20220919T",0,0,0,0,0
"20220920T",0,0,0,0,0
"20220921T",0,0,0,0,0
"20220922T",0,0,0,0,0
"20220923T",0,0,0,0,0
"20220924T",0,0,0,0,0
"20220925T",0,0,0,0,0
"20220926T",0,0,0,0,0
"20220927T",0,0,0,0,0
"20220928T",0,0,0,0,0
"20220929T",0,0,0,0,0
"20220930T",1,1,1,1,0
"20221001T",1,1,1,1,0
"20221002T",1,1,1,1,0
"20221003T",1,1,1,1,0
"20221004T",1,1,1,1,0
"20221005T",0,0,0,0,0
"20221006T",0,0,0,0,0
"20221007T",0,0,0,0,0
"20221008T",0,0,0,0,0
"20221009T",0,0,0,0,0
"20221010T",0,0,0,0,0
"20221011T",1,1,1,1,0
"20221012T",1,1,1,1,0
"20221013T",1,1,1,1,0
"20221014T",0,0,0,0,0
"20221015T",0,0,0,0,0
"20221016T",0,0,0,0,0
"20221017T",0,0,0,0,0
"20221018T",0,0,0,0,0
"20221019T",0,0,0,0,0
"20221020T",0,0,0,0,0
"20221021T",0,0,0,0,0
"20221022T",0,0,0,0,0
"20221023T",0,0,0,0,0
"20221024T",0,0,0,0,0
"20221025T",0,0,0,0,0
"20221026T",0,0,0,0,0
"20221027T",0,0,0,0,0
"20221028T",0,0,0,0,0
"20221029T",0,0,0,0,0
"20221030T",0,0,0,0,0
"20221031T",1,1,1,1,0
"20221101T",1,1,1,1,0
"20221102T",1,1,1,1,0
"20221103T",0,0,0,0,0
"20221104T",0,0,0,0,0
"20221105T",0,0,0,0,0
"20221106T",0,0,0,0,0
"20221107T",0,0,0,0,0
"20221108T",1,1,1,1,0
"20221109T",1,1,1,1,0
"20221110T",1,1,1,1,0
"20221111T",0,0,0,0,0
"20221112T",0,0,0,0,0
"20221113T",0,0,0,0,0
"20221114T",0,0,0,0,0
"20221115T",0,0,0,0,0
"20221116T",0,0,0,0,0
"20221117T",0,0,0,0,0
"20221118T",0,0,0,0,0
"20221119T",0,0,0,0,0
"20221120T",0,0,0,0,0
"20221121T",0,0,0,0,0
"20221122T",0,0,0,0,0
"20221123T",0,0,0,0,0
"20221124T",0,0,0,0,0
