"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"56",721.709027777778,466,396,4431.90894122033,6000,4,6.60558611826916,6.14085285155247,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/15/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"49",721.709027777778,462,392,4239.24126115247,6000,4,6.60558611826916,5.87389252176264,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/45/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"50",721.709027777778,461,392,4241.34822513984,6000,4,6.60558611826916,5.87681193097919,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/60/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"57",721.709027777778,464,392,4768.61347432862,6000,4,6.60558611826916,6.60739063914956,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/15/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"35",721.709027777778,456,389,3098.79119078575,6000,4,6.64292332345525,4.29368494991294,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/60/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"5",721.709027777778,443,387,3954.38600279995,6000,4,8.91656813561662,5.47919708719169,"SEQ","AUDUSD","2 hours","50/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"51",721.709027777778,455,386,4457.55437628761,6000,4,6.60558611826916,6.17638716535514,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/75/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"37",721.709027777778,443,384,2764.97303779775,6000,4,6.34393564635554,3.83114653049499,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/90/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"52",721.709027777778,448,378,4490.66646865168,6000,4,6.60558611826916,6.22226727920938,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/90/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"36",721.709027777778,436,377,3919.36919000007,1984.61568,3,10,5.43067779277785,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/75/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
