"","currency","event","actual","forecast","previous","impact","DateUTC"
"69","EUR","German Factory Orders m/m","2.3%","-0.6%","3.3%","yellow","2021-01-06 22:00:00"
"70","CHF","Retail Sales y/y","1.7%","3.5%","4.3%","yellow","2021-01-06 22:30:00"
"71","EUR","ECB Economic Bulletin","","","","yellow","2021-01-07 00:00:00"
"72","GBP","Construction PMI","54.6","54.6","54.7","yellow","2021-01-07 00:30:00"
"73","GBP","Housing Equity Withdrawal q/q","-7.0B","-7.0B","-9.0B","yellow","2021-01-07 00:32:00"
"74","EUR","Core CPI Flash Estimate y/y","0.2%","0.2%","0.2%","yellow","2021-01-07 01:00:00"
"75","EUR","CPI Flash Estimate y/y","-0.3%","-0.2%","-0.3%","yellow","2021-01-07 08:00:00"
"76","EUR","Italian Prelim CPI m/m","0.3%","0.2%","-0.1%","yellow","2021-01-07 08:00:00"
"77","EUR","Retail Sales m/m","-6.1%","-3.4%","1.4%","yellow","2021-01-07 08:00:00"
"78","EUR","French 10-y Bond Auction","-0.33|1.9","","-0.26|2.1","yellow","2021-01-07 01:04:00"
"79","USD","Challenger Job Cuts y/y","134.5%","","45.4%","yellow","2021-01-07 03:30:00"
"80","CAD","Trade Balance","-3.3B","-3.6B","-3.7B","yellow","2021-01-07 04:30:00"
"81","USD","Unemployment Claims","787K","798K","790K","orange","2021-01-07 08:00:00"
"82","USD","Trade Balance","-68.1B","-66.7B","-63.1B","yellow","2021-01-07 08:00:00"
"83","CAD","Ivey PMI","46.7","53.1","52.7","orange","2021-01-07 06:00:00"
"84","USD","ISM Services PMI","57.2","54.5","55.9","orange","2021-01-07 08:00:00"
"85","USD","Natural Gas Storage","-130B","-142B","-114B","yellow","2021-01-07 06:30:00"
"86","USD","FOMC Member Evans Speaks","","","","yellow","2021-01-07 09:00:00"
"87","JPY","Household Spending y/y","1.1%","-1.0%","1.9%","yellow","2021-01-07 14:30:00"
"88","JPY","30-y Bond Auction","0.65|3.0","","0.65|3.5","yellow","2021-01-07 18:35:00"
"89","JPY","Leading Indicators","96.6%","96.6%","94.3%","yellow","2021-01-07 20:00:00"
"90","CHF","Unemployment Rate","3.4%","3.4%","3.4%","yellow","2021-01-07 21:45:00"
"91","EUR","German Industrial Production m/m","0.9%","0.7%","3.4%","yellow","2021-01-07 22:00:00"
"92","EUR","German Trade Balance","16.4B","18.5B","18.2B","yellow","2021-01-08 08:00:00"
"93","EUR","French Consumer Spending m/m","-18.9%","-15.8%","3.9%","yellow","2021-01-07 22:45:00"
"94","EUR","French Industrial Production m/m","-0.9%","-1.0%","1.9%","yellow","2021-01-08 08:00:00"
"95","EUR","French Trade Balance","-3.6B","-4.9B","-4.6B","yellow","2021-01-08 08:00:00"
"96","CHF","Foreign Currency Reserves","891B","","877B","yellow","2021-01-07 23:02:00"
"97","GBP","Halifax HPI m/m","0.2%","1.0%","1.0%","yellow","2021-01-07 23:30:00"
"98","EUR","Italian Monthly Unemployment Rate","8.9%","10.0%","9.5%","yellow","2021-01-08 01:00:00"
"99","EUR","Unemployment Rate","8.3%","8.5%","8.4%","yellow","2021-01-08 08:00:00"
"100","CAD","Employment Change","-62.6K","-32.5K","62.1K","red","2021-01-08 04:30:00"
"101","CAD","Unemployment Rate","8.6%","8.7%","8.5%","red","2021-01-08 08:00:00"
"102","USD","Average Hourly Earnings m/m","0.8%","0.2%","0.3%","red","2021-01-08 08:00:00"
"103","USD","Non-Farm Employment Change","-140K","60K","336K","red","2021-01-08 08:00:00"
"104","USD","Unemployment Rate","6.7%","6.8%","6.7%","red","2021-01-08 08:00:00"
"105","USD","Final Wholesale Inventories m/m","0.0%","-0.1%","-0.1%","yellow","2021-01-08 06:00:00"
"106","USD","FOMC Member Clarida Speaks","","","","yellow","2021-01-08 07:00:00"
"107","USD","Consumer Credit m/m","15.3B","9.0B","4.5B","yellow","2021-01-08 11:00:00"
"108","AUD","MI Inflation Gauge m/m","0.5%","","0.3%","yellow","2021-01-10 15:00:00"
