"","currency","event","actual","forecast","previous","impact","DateUTC"
"1287","CNY","PPI y/y","4.4%","3.6%","1.7%","yellow","2021-04-08 08:00:00"
"1288","CHF","Unemployment Rate","3.3%","3.6%","3.4%","yellow","2021-04-08 21:45:00"
"1289","EUR","German Industrial Production m/m","-1.6%","1.6%","-2.0%","yellow","2021-04-08 22:00:00"
"1290","EUR","German Trade Balance","19.1B","23.4B","21.3B","yellow","2021-04-09 08:00:00"
"1291","EUR","French Industrial Production m/m","-4.7%","0.5%","3.2%","yellow","2021-04-08 22:45:00"
"1292","GBP","Halifax HPI m/m","1.1%","0.3%","0.0%","yellow","2021-04-08 23:30:00"
"1293","EUR","Italian Retail Sales m/m","6.6%","2.0%","-2.7%","yellow","2021-04-09 00:00:00"
"1294","GBP","BOE Quarterly Bulletin","","","","yellow","2021-04-09 03:00:00"
"1295","CAD","Employment Change","303.1K","101.5K","259.2K","red","2021-04-09 04:30:00"
"1296","CAD","Unemployment Rate","7.5%","8.0%","8.2%","red","2021-04-09 08:00:00"
"1297","USD","Core PPI m/m","0.7%","0.2%","0.2%","yellow","2021-04-09 04:56:00"
"1298","USD","PPI m/m","1.0%","0.5%","0.5%","yellow","2021-04-09 08:00:00"
"1299","USD","Final Wholesale Inventories m/m","0.6%","0.5%","0.5%","yellow","2021-04-09 06:00:00"
"1300","All","IMF Meetings","","","","yellow","2021-04-09 08:00:00"
"1301","All","IMF Meetings","","","","yellow","2021-04-10 08:00:00"
"1302","All","IMF Meetings","","","","yellow","2021-04-11 08:00:00"
"1303","USD","Fed Chair Powell Speaks","","","","red","2021-04-11 15:00:00"
"1304","JPY","Bank Lending y/y","6.3%","6.3%","6.2%","yellow","2021-04-11 15:50:00"
"1305","JPY","PPI y/y","1.0%","0.5%","-0.6%","yellow","2021-04-11 08:00:00"
"1306","JPY","Prelim Machine Tool Orders y/y","65.0%","","36.7%","yellow","2021-04-11 21:59:00"
"1307","CNY","M2 Money Supply y/y","9.4%","9.5%","10.1%","yellow","2021-04-12 00:00:00"
"1308","CNY","New Loans","2730B","2300B","1360B","yellow","2021-04-12 08:00:00"
"1309","EUR","Retail Sales m/m","3.0%","1.3%","-5.2%","yellow","2021-04-12 01:00:00"
"1310","GBP","MPC Member Tenreyro Speaks","","","","yellow","2021-04-12 05:00:00"
"1311","CAD","BOC Business Outlook Survey","","","","red","2021-04-12 06:30:00"
"1312","USD","10-y Bond Auction","1.68|2.4","","1.52|2.4","orange","2021-04-12 09:01:00"
"1313","USD","Federal Budget Balance","-659.6B","-665.5B","-310.9B","yellow","2021-04-12 10:00:00"
"1314","NZD","NZIER Business Confidence","-13","","-6","orange","2021-04-12 14:00:00"
"1315","GBP","BRC Retail Sales Monitor y/y","20.3%","11.9%","9.5%","yellow","2021-04-12 15:01:00"
"1316","JPY","M2 Money Stock y/y","9.5%","9.6%","9.6%","yellow","2021-04-12 15:50:00"
"1317","AUD","NAB Business Confidence","15","","18","orange","2021-04-12 17:30:00"
"1318","CNY","Trade Balance","88B","330B","676B","orange","2021-04-12 19:06:00"
"1319","CNY","USD-Denominated Trade Balance","13.8B","52.0B","103.3B","orange","2021-04-12 19:07:00"
"1320","EUR","German WPI m/m","1.7%","0.6%","1.4%","yellow","2021-04-12 22:00:00"
"1321","GBP","Construction Output m/m","1.6%","0.5%","0.0%","yellow","2021-04-13 08:00:00"
"1322","GBP","GDP m/m","0.4%","0.5%","-2.2%","yellow","2021-04-13 08:00:00"
"1323","GBP","Goods Trade Balance","-16.4B","-10.4B","-12.6B","yellow","2021-04-13 08:00:00"
"1324","GBP","Index of Services 3m/3m","-1.9%","-2.3%","-1.9%","yellow","2021-04-13 08:00:00"
"1325","GBP","Industrial Production m/m","1.0%","0.5%","-1.8%","yellow","2021-04-13 08:00:00"
"1326","GBP","Manufacturing Production m/m","1.3%","0.5%","-2.3%","yellow","2021-04-13 08:00:00"
"1327","EUR","Italian Industrial Production m/m","0.2%","0.7%","1.1%","yellow","2021-04-13 00:00:00"
"1328","EUR","ZEW Economic Sentiment","66.3","77.2","74.0","yellow","2021-04-13 01:00:00"
"1329","EUR","German ZEW Economic Sentiment","70.7","79.1","76.6","yellow","2021-04-13 08:00:00"
"1330","USD","NFIB Small Business Index","98.2","98.2","95.8","yellow","2021-04-13 02:00:00"
"1331","GBP","NIESR GDP Estimate","-1.5%","","-1.6%","yellow","2021-04-13 04:28:00"
"1332","USD","Core CPI m/m","0.3%","0.2%","0.1%","red","2021-04-13 04:30:00"
"1333","USD","CPI m/m","0.6%","0.5%","0.4%","red","2021-04-13 08:00:00"
"1334","USD","CPI y/y","2.6%","2.5%","1.7%","red","2021-04-13 08:00:00"
"1335","USD","30-y Bond Auction","2.32|2.5","","2.30|2.3","orange","2021-04-13 09:01:00"
"1336","USD","FOMC Member Bostic Speaks","","","","yellow","2021-04-13 11:15:00"
"1337","NZD","Visitor Arrivals m/m","-2.8%","","-7.7%","yellow","2021-04-13 14:51:00"
"1338","JPY","Core Machinery Orders m/m","-8.5%","2.4%","-4.5%","yellow","2021-04-13 15:50:00"
"1339","AUD","Westpac Consumer Sentiment","6.2%","","2.6%","yellow","2021-04-13 16:30:00"
"1340","NZD","RBNZ Rate Statement","","","","red","2021-04-13 18:00:00"
"1341","NZD","Official Cash Rate","0.25%","0.25%","0.25%","orange","2021-04-13 08:00:00"
"1342","EUR","Industrial Production m/m","-1.0%","-1.2%","0.8%","yellow","2021-04-14 01:00:00"
"1343","EUR","German 30-y Bond Auction","0.22|1.3","","0.21|1.2","yellow","2021-04-14 01:34:00"
"1344","USD","Import Prices m/m","1.2%","1.0%","1.3%","yellow","2021-04-14 04:30:00"
"1345","EUR","ECB President Lagarde Speaks","","","","orange","2021-04-14 06:00:00"
"1346","GBP","MPC Member Haskel Speaks","","","","yellow","2021-04-14 06:30:00"
"1347","USD","Crude Oil Inventories","-5.9M","-2.4M","-3.5M","orange","2021-04-14 08:00:00"
"1348","USD","Fed Chair Powell Speaks","","","","red","2021-04-14 08:00:00"
"1349","USD","Beige Book","","","","yellow","2021-04-14 10:00:00"
"1350","USD","FOMC Member Williams Speaks","","","","yellow","2021-04-14 10:30:00"
"1351","USD","FOMC Member Clarida Speaks","","","","yellow","2021-04-14 11:45:00"
"1352","USD","FOMC Member Bostic Speaks","","","","yellow","2021-04-14 12:00:00"
"1353","NZD","FPI m/m","0.0%","","-0.9%","yellow","2021-04-14 14:45:00"
"1354","AUD","MI Inflation Expectations","3.2%","","4.1%","yellow","2021-04-14 17:00:00"
"1355","AUD","Employment Change","70.7K","35.2K","88.7K","red","2021-04-14 17:30:00"
"1356","AUD","Unemployment Rate","5.6%","5.7%","5.8%","red","2021-04-14 08:00:00"
"1357","EUR","German Final CPI m/m","0.5%","0.5%","0.5%","yellow","2021-04-14 22:00:00"
"1358","EUR","French Final CPI m/m","0.6%","0.6%","0.6%","yellow","2021-04-14 22:45:00"
"1359","CNY","Foreign Direct Investment ytd/y","39.9%","","31.5%","yellow","2021-04-14 23:02:00"
"1360","GBP","BOE Credit Conditions Survey","","","","yellow","2021-04-15 00:30:00"
"1361","CAD","Manufacturing Sales m/m","-1.6%","-1.1%","3.4%","yellow","2021-04-15 04:30:00"
"1362","USD","Core Retail Sales m/m","8.4%","5.1%","-2.5%","red","2021-04-15 08:00:00"
"1363","USD","Retail Sales m/m","9.8%","5.8%","-2.7%","red","2021-04-15 08:00:00"
"1364","USD","Philly Fed Manufacturing Index","50.2","41.0","51.8","orange","2021-04-15 08:00:00"
"1365","USD","Unemployment Claims","576K","703K","769K","orange","2021-04-15 08:00:00"
"1366","USD","Empire State Manufacturing Index","26.3","19.3","17.4","yellow","2021-04-15 08:00:00"
"1367","CAD","ADP Non-Farm Employment Change","634.8K","","271.7K","yellow","2021-04-15 04:32:00"
"1368","USD","Capacity Utilization Rate","74.4%","75.6%","73.8%","yellow","2021-04-15 05:15:00"
"1369","USD","Industrial Production m/m","1.4%","2.7%","-2.2%","yellow","2021-04-15 08:00:00"
"1370","GBP","CB Leading Index m/m","-0.4%","","-0.5%","yellow","2021-04-15 05:30:00"
"1371","CHF","Gov Board Member Maechler Speaks","","","","orange","2021-04-15 06:00:00"
"1372","USD","Business Inventories m/m","0.5%","0.5%","0.4%","yellow","2021-04-15 08:00:00"
"1373","USD","NAHB Housing Market Index","83","84","82","yellow","2021-04-15 08:00:00"
"1374","USD","Natural Gas Storage","61B","67B","20B","yellow","2021-04-15 06:30:00"
"1375","USD","FOMC Member Bostic Speaks","","","","yellow","2021-04-15 07:30:00"
"1376","USD","FOMC Member Daly Speaks","","","","yellow","2021-04-15 10:00:00"
"1377","USD","TIC Long-Term Purchases","4.2B","120.5B","91.0B","yellow","2021-04-15 12:00:00"
"1378","NZD","BusinessNZ Manufacturing Index","63.6","","54.2","yellow","2021-04-15 14:30:00"
"1379","CNY","GDP q/y","18.3%","18.3%","6.5%","red","2021-04-15 18:00:00"
"1380","CNY","Fixed Asset Investment ytd/y","25.6%","27.0%","35.0%","yellow","2021-04-15 08:00:00"
"1381","CNY","Industrial Production y/y","14.1%","18.3%","35.1%","yellow","2021-04-15 08:00:00"
"1382","CNY","NBS Press Conference","","","","yellow","2021-04-15 08:00:00"
"1383","CNY","Retail Sales y/y","34.2%","28.0%","33.8%","yellow","2021-04-15 08:00:00"
"1384","CNY","Unemployment Rate","5.3%","5.4%","5.5%","yellow","2021-04-15 08:00:00"
"1385","CHF","PPI m/m","0.6%","0.2%","0.0%","yellow","2021-04-15 22:30:00"
"1386","EUR","Italian Trade Balance","4.75B","4.95B","1.58B","yellow","2021-04-16 00:05:00"
"1387","EUR","Final Core CPI y/y","0.9%","0.9%","0.9%","yellow","2021-04-16 01:00:00"
"1388","EUR","Final CPI y/y","1.3%","1.3%","1.3%","yellow","2021-04-16 08:00:00"
"1389","EUR","Trade Balance","18.4B","21.9B","28.7B","yellow","2021-04-16 08:00:00"
"1390","GBP","MPC Member Cunliffe Speaks","","","","yellow","2021-04-16 08:00:00"
"1391","EUR","ECOFIN Meetings","","","","yellow","2021-04-16 08:00:00"
"1392","EUR","Eurogroup Meetings","","","","yellow","2021-04-16 08:00:00"
"1393","CAD","Foreign Securities Purchases","8.52B","6.05B","1.11B","yellow","2021-04-16 04:30:00"
"1394","CAD","Wholesale Sales m/m","-0.7%","-0.5%","4.0%","yellow","2021-04-16 08:00:00"
"1395","USD","Building Permits","1.77M","1.75M","1.72M","yellow","2021-04-16 08:00:00"
"1396","USD","Housing Starts","1.74M","1.60M","1.46M","yellow","2021-04-16 08:00:00"
"1397","USD","Treasury Currency Report","","","","orange","2021-04-16 05:00:00"
"1398","USD","Prelim UoM Consumer Sentiment","86.5","88.9","84.9","orange","2021-04-16 06:00:00"
"1399","USD","Prelim UoM Inflation Expectations","3.7%","","3.1%","yellow","2021-04-16 08:00:00"
"1400","NZD","BusinessNZ Services Index","52.4","","49.7","yellow","2021-04-18 14:30:00"
"1401","GBP","Rightmove HPI m/m","2.1%","","0.8%","yellow","2021-04-18 15:01:00"
"1402","JPY","Trade Balance","0.30T","0.20T","-0.01T","yellow","2021-04-18 15:50:00"
"1403","JPY","Revised Industrial Production m/m","-1.3%","-2.1%","-2.1%","yellow","2021-04-18 20:30:00"
"1404","EUR","Current Account","25.9B","31.2B","34.7B","yellow","2021-04-19 00:00:00"
"1405","EUR","German Buba Monthly Report","","","","yellow","2021-04-19 02:00:00"
"1406","CAD","Housing Starts","335K","254K","276K","yellow","2021-04-19 04:13:00"
"1407","CAD","Annual Budget Release","","","","yellow","2021-04-19 12:08:00"
"1408","AUD","Monetary Policy Meeting Minutes","","","","yellow","2021-04-19 17:30:00"
"1409","CNY","1-y Loan Prime Rate","3.85%","3.85%","3.85%","orange","2021-04-19 08:00:00"
"1410","CNY","5-y Loan Prime Rate","4.65%","4.65%","4.65%","orange","2021-04-19 08:00:00"
"1411","JPY","Tertiary Industry Activity m/m","0.3%","0.6%","-1.0%","yellow","2021-04-19 20:30:00"
"1412","EUR","German PPI m/m","0.9%","0.6%","0.7%","yellow","2021-04-19 22:00:00"
"1413","GBP","Unemployment Rate","4.9%","5.0%","5.0%","yellow","2021-04-20 08:00:00"
"1414","GBP","Claimant Count Change","10.1K","24.5K","67.3K","orange","2021-04-19 22:02:00"
"1415","GBP","Average Earnings Index 3m/y","4.5%","4.7%","4.8%","yellow","2021-04-20 08:00:00"
"1416","NZD","GDT Price Index","-0.1%","","0.3%","yellow","2021-04-20 06:15:00"
"1417","AUD","CB Leading Index m/m","0.5%","","-0.1%","yellow","2021-04-20 06:30:00"
"1418","NZD","CPI q/q","0.8%","0.8%","0.5%","red","2021-04-20 14:45:00"
"1419","AUD","MI Leading Index m/m","0.4%","","0.2%","yellow","2021-04-20 16:30:00"
"1420","AUD","Retail Sales m/m","1.4%","1.0%","-0.8%","red","2021-04-20 17:30:00"
"1421","GBP","CPI y/y","0.7%","0.8%","0.4%","orange","2021-04-20 22:00:00"
"1422","GBP","PPI Input m/m","1.3%","0.5%","0.9%","yellow","2021-04-21 08:00:00"
"1423","GBP","PPI Output m/m","0.5%","0.3%","0.7%","yellow","2021-04-21 08:00:00"
"1424","GBP","Core CPI y/y","1.1%","1.1%","0.9%","yellow","2021-04-20 22:02:00"
"1425","GBP","RPI y/y","1.5%","1.6%","1.4%","yellow","2021-04-21 08:00:00"
"1426","GBP","MPC Member Ramsden Speaks","","","","yellow","2021-04-21 00:05:00"
"1427","GBP","HPI y/y","8.6%","8.0%","8.0%","yellow","2021-04-21 00:30:00"
"1428","EUR","German 10-y Bond Auction","-0.25|1.7","","-0.36|1.5","yellow","2021-04-21 01:33:00"
"1429","GBP","BOE Gov Bailey Speaks","","","","orange","2021-04-21 02:30:00"
"1430","CAD","CPI m/m","0.5%","0.6%","0.5%","orange","2021-04-21 04:30:00"
"1431","CAD","Common CPI y/y","1.5%","1.4%","1.3%","yellow","2021-04-21 08:00:00"
"1432","CAD","Median CPI y/y","2.1%","2.1%","2.0%","yellow","2021-04-21 08:00:00"
"1433","CAD","Trimmed CPI y/y","2.2%","2.0%","2.0%","yellow","2021-04-21 08:00:00"
"1434","CAD","Core CPI m/m","0.3%","","0.3%","yellow","2021-04-21 04:32:00"
"1435","CAD","BOC Monetary Policy Report","","","","red","2021-04-21 06:00:00"
"1436","CAD","BOC Rate Statement","","","","red","2021-04-21 08:00:00"
"1437","CAD","Overnight Rate","0.25%","0.25%","0.25%","orange","2021-04-21 08:00:00"
"1438","USD","Crude Oil Inventories","0.6M","-3.7M","-5.9M","orange","2021-04-21 06:30:00"
"1439","CAD","BOC Press Conference","","","","red","2021-04-21 07:00:00"
"1440","AUD","NAB Quarterly Business Confidence","17","","15","yellow","2021-04-21 17:30:00"
"1441","CHF","Trade Balance","5.82B","4.12B","3.67B","yellow","2021-04-21 22:00:00"
"1442","EUR","Spanish 10-y Bond Auction","0.37|1.9","","-0.04|1.8","yellow","2021-04-22 00:42:00"
"1443","GBP","CBI Industrial Order Expectations","-8","2","-5","yellow","2021-04-22 02:00:00"
"1444","EUR","Monetary Policy Statement","","","","red","2021-04-22 03:45:00"
"1445","EUR","Main Refinancing Rate","0.00%","0.00%","0.00%","orange","2021-04-22 08:00:00"
"1446","CAD","NHPI m/m","1.1%","2.1%","1.9%","yellow","2021-04-22 04:30:00"
"1447","EUR","ECB Press Conference","","","","red","2021-04-22 08:00:00"
"1448","USD","Unemployment Claims","547K","607K","586K","orange","2021-04-22 08:00:00"
"1449","EUR","Consumer Confidence","-8","-11","-11","yellow","2021-04-22 05:30:00"
"1450","USD","CB Leading Index m/m","1.3%","1.0%","-0.1%","yellow","2021-04-22 06:00:00"
"1451","USD","Existing Home Sales","6.01M","6.18M","6.24M","yellow","2021-04-22 08:00:00"
"1452","USD","Natural Gas Storage","38B","47B","61B","yellow","2021-04-22 06:30:00"
"1453","AUD","Flash Manufacturing PMI","59.6","","56.8","yellow","2021-04-22 15:00:00"
"1454","AUD","Flash Services PMI","58.6","","55.5","yellow","2021-04-22 08:00:00"
"1455","GBP","GfK Consumer Confidence","-15","-12","-16","yellow","2021-04-22 15:01:00"
"1456","JPY","National Core CPI y/y","-0.1%","-0.2%","-0.4%","yellow","2021-04-22 15:30:00"
"1457","JPY","Flash Manufacturing PMI","53.3","53.1","52.7","yellow","2021-04-22 16:30:00"
"1458","NZD","Credit Card Spending y/y","2.2%","","-12.6%","yellow","2021-04-22 19:00:00"
"1459","GBP","Retail Sales m/m","5.4%","1.5%","2.2%","orange","2021-04-22 22:00:00"
"1460","GBP","Public Sector Net Borrowing","27.3B","21.2B","15.3B","yellow","2021-04-23 08:00:00"
"1461","EUR","French Flash Services PMI","50.4","46.6","48.2","red","2021-04-22 23:15:00"
"1462","EUR","French Flash Manufacturing PMI","59.2","59.0","59.3","orange","2021-04-23 08:00:00"
"1463","EUR","German Flash Manufacturing PMI","66.4","65.8","66.6","red","2021-04-22 23:30:00"
"1464","EUR","German Flash Services PMI","50.1","51.1","51.5","red","2021-04-23 08:00:00"
"1465","EUR","Flash Manufacturing PMI","63.3","62.0","62.5","orange","2021-04-23 00:00:00"
"1466","EUR","Flash Services PMI","50.3","49.1","49.6","orange","2021-04-23 08:00:00"
"1467","GBP","Flash Manufacturing PMI","60.7","59.0","58.9","orange","2021-04-23 00:30:00"
"1468","GBP","Flash Services PMI","60.1","58.9","56.3","orange","2021-04-23 08:00:00"
"1469","USD","Flash Manufacturing PMI","60.6","60.9","59.1","orange","2021-04-23 05:45:00"
"1470","USD","Flash Services PMI","63.1","61.6","60.4","yellow","2021-04-23 08:00:00"
"1471","USD","New Home Sales","1021K","885K","846K","yellow","2021-04-23 06:00:00"
"1472","EUR","ECB President Lagarde Speaks","","","","orange","2021-04-23 06:35:00"
"1473","NZD","Bank Holiday","","","","grey","2021-04-25 08:00:00"
"1474","AUD","Bank Holiday","","","","grey","2021-04-25 08:00:00"
"1475","JPY","SPPI y/y","0.7%","0.0%","0.0%","yellow","2021-04-25 15:50:00"
"1476","EUR","German ifo Business Climate","96.8","97.8","96.6","orange","2021-04-26 00:00:00"
"1477","USD","Core Durable Goods Orders m/m","1.6%","1.6%","-0.3%","yellow","2021-04-26 04:30:00"
"1478","USD","Durable Goods Orders m/m","0.5%","2.5%","-1.2%","yellow","2021-04-26 08:00:00"
"1479","EUR","Belgian NBB Business Climate","4.4","1.7","-1.0","yellow","2021-04-26 04:58:00"
"1480","CNY","CB Leading Index m/m","1.0%","","1.1%","yellow","2021-04-26 05:00:00"
"1481","JPY","BOJ Outlook Report","","","","red","2021-04-26 19:02:00"
"1482","JPY","Monetary Policy Statement","","","","orange","2021-04-26 08:00:00"
"1483","JPY","BOJ Policy Rate","-0.10%","-0.10%","-0.10%","yellow","2021-04-26 08:00:00"
"1484","JPY","BOJ Core CPI y/y","0.0%","-0.2%","-0.2%","yellow","2021-04-26 20:59:00"
"1485","JPY","BOJ Press Conference","","","","orange","2021-04-26 22:30:00"
"1486","GBP","CBI Realized Sales","20","9","-45","yellow","2021-04-27 02:00:00"
"1487","All","OPEC-JMMC Meetings","","","","red","2021-04-27 08:00:00"
"1488","USD","HPI m/m","0.9%","1.0%","1.0%","yellow","2021-04-27 05:00:00"
"1489","USD","S&P/CS Composite-20 HPI y/y","11.9%","11.8%","11.1%","yellow","2021-04-27 08:00:00"
"1490","USD","Richmond Manufacturing Index","17","22","17","yellow","2021-04-27 05:59:00"
"1491","USD","CB Consumer Confidence","121.7","113.1","109.0","orange","2021-04-27 06:00:00"
"1492","CAD","BOC Gov Macklem Speaks","","","","red","2021-04-27 12:00:00"
"1493","GBP","BRC Shop Price Index y/y","-1.3%","","-2.4%","yellow","2021-04-27 15:01:00"
"1494","JPY","Retail Sales y/y","5.2%","4.6%","-1.5%","yellow","2021-04-27 15:50:00"
"1495","AUD","CPI q/q","0.6%","0.9%","0.9%","red","2021-04-27 17:30:00"
"1496","AUD","Trimmed Mean CPI q/q","0.3%","0.5%","0.4%","red","2021-04-27 08:00:00"
"1497","AUD","Goods Trade Balance","8.50B","","7.54B","yellow","2021-04-27 08:00:00"
"1498","JPY","Housing Starts y/y","1.5%","-7.2%","-3.7%","yellow","2021-04-27 21:00:00"
"1499","EUR","German GfK Consumer Climate","-8.8","-4.1","-6.1","yellow","2021-04-27 22:00:00"
"1500","CHF","Credit Suisse Economic Expectations","68.3","","66.7","yellow","2021-04-28 00:00:00"
"1501","CAD","Core Retail Sales m/m","4.8%","3.5%","-0.1%","orange","2021-04-28 04:30:00"
"1502","CAD","Retail Sales m/m","4.8%","4.0%","0.0%","orange","2021-04-28 08:00:00"
"1503","USD","Goods Trade Balance","-90.6B","-88.2B","-87.1B","yellow","2021-04-28 08:00:00"
"1504","USD","Prelim Wholesale Inventories m/m","1.4%","0.5%","0.6%","yellow","2021-04-28 08:00:00"
"1505","EUR","ECB President Lagarde Speaks","","","","orange","2021-04-28 06:00:00"
"1506","USD","Crude Oil Inventories","0.1M","-0.9M","0.6M","orange","2021-04-28 06:30:00"
"1507","USD","FOMC Statement","","","","red","2021-04-28 10:00:00"
"1508","USD","Federal Funds Rate","<0.25%","<0.25%","<0.25%","orange","2021-04-28 08:00:00"
"1509","USD","FOMC Press Conference","","","","red","2021-04-28 10:30:00"
"1510","NZD","Trade Balance","33M","33M","201M","yellow","2021-04-28 14:45:00"
"1511","JPY","Bank Holiday","","","","grey","2021-04-28 08:00:00"
"1512","NZD","ANZ Business Confidence","-2.0","","-8.4","yellow","2021-04-28 17:00:00"
"1513","USD","President Biden Speaks","","","","red","2021-04-28 08:00:00"
"1514","AUD","Import Prices q/q","0.2%","-1.5%","-1.0%","yellow","2021-04-28 17:30:00"
"1515","EUR","German Import Prices m/m","1.8%","0.9%","1.7%","yellow","2021-04-28 22:00:00"
"1516","EUR","German Prelim CPI m/m","0.7%","0.5%","0.5%","yellow","2021-04-29 08:00:00"
"1517","EUR","Spanish Flash CPI y/y","2.2%","1.9%","1.3%","yellow","2021-04-28 23:00:00"
"1518","EUR","Spanish Unemployment Rate","16.0%","16.5%","16.1%","yellow","2021-04-29 08:00:00"
"1519","EUR","German Unemployment Change","9K","-10K","-6K","yellow","2021-04-28 23:55:00"
"1520","EUR","M3 Money Supply y/y","10.1%","10.2%","12.2%","yellow","2021-04-29 00:00:00"
"1521","EUR","Private Loans y/y","3.3%","3.2%","3.0%","yellow","2021-04-29 08:00:00"
"1522","EUR","Italian 10-y Bond Auction","0.88|1.4","","0.72|1.4","yellow","2021-04-29 01:16:00"
"1523","USD","Advance GDP q/q","6.4%","6.8%","4.3%","red","2021-04-29 04:30:00"
"1524","USD","Advance GDP Price Index q/q","4.1%","2.6%","2.0%","orange","2021-04-29 08:00:00"
"1525","USD","Unemployment Claims","553K","545K","566K","orange","2021-04-29 08:00:00"
"1526","USD","Pending Home Sales m/m","1.9%","4.2%","-11.5%","orange","2021-04-29 06:00:00"
"1527","USD","Natural Gas Storage","15B","8B","38B","yellow","2021-04-29 06:30:00"
"1528","JPY","Tokyo Core CPI y/y","-0.2%","0.0%","-0.1%","yellow","2021-04-29 15:30:00"
"1529","JPY","Unemployment Rate","2.6%","2.9%","2.9%","yellow","2021-04-29 08:00:00"
"1530","JPY","Prelim Industrial Production m/m","2.2%","-2.0%","-1.3%","yellow","2021-04-29 15:50:00"
"1531","JPY","Final Manufacturing PMI","53.6","51.6","52.7","yellow","2021-04-29 16:30:00"
"1532","CNY","Manufacturing PMI","51.1","55.9","51.9","orange","2021-04-29 17:00:00"
"1533","CNY","Non-Manufacturing PMI","54.9","51.8","56.3","yellow","2021-04-29 08:00:00"
"1534","AUD","PPI q/q","0.4%","0.3%","0.5%","yellow","2021-04-29 17:30:00"
"1535","AUD","Private Sector Credit m/m","0.4%","0.3%","0.2%","yellow","2021-04-29 08:00:00"
"1536","CNY","Caixin Manufacturing PMI","51.9","50.9","50.6","yellow","2021-04-29 17:45:00"
"1537","JPY","Consumer Confidence","34.7","34.3","36.1","yellow","2021-04-29 20:59:00"
"1538","EUR","French Consumer Spending m/m","-1.1%","0.5%","0.3%","yellow","2021-04-29 21:30:00"
"1539","EUR","French Flash GDP q/q","0.4%","0.0%","-1.4%","yellow","2021-04-30 08:00:00"
"1540","GBP","Nationwide HPI m/m","2.1%","0.5%","-0.3%","yellow","2021-04-29 21:58:00"
"1541","CHF","Retail Sales y/y","22.6%","-5.4%","-6.6%","yellow","2021-04-29 22:30:00"
"1542","EUR","French Prelim CPI m/m","0.2%","0.2%","0.6%","yellow","2021-04-29 22:45:00"
"1543","CHF","KOF Economic Barometer","134.0","119.5","118.0","yellow","2021-04-29 23:00:00"
"1544","EUR","Spanish Flash GDP q/q","-0.5%","-0.5%","0.0%","yellow","2021-04-30 08:00:00"
"1545","EUR","Italian Monthly Unemployment Rate","10.1%","10.3%","10.2%","yellow","2021-04-30 08:00:00"
"1546","CHF","SNB Chairman Jordan Speaks","","","","orange","2021-04-30 00:00:00"
"1547","EUR","German Prelim GDP q/q","-1.7%","-1.5%","0.3%","orange","2021-04-30 08:00:00"
"1548","EUR","Italian Prelim GDP q/q","-0.4%","-0.5%","-1.9%","yellow","2021-04-30 08:00:00"
"1549","EUR","Core CPI Flash Estimate y/y","0.8%","0.8%","0.9%","yellow","2021-04-30 01:00:00"
"1550","EUR","CPI Flash Estimate y/y","1.6%","1.6%","1.3%","yellow","2021-04-30 08:00:00"
"1551","EUR","Italian Prelim CPI m/m","0.4%","0.3%","0.3%","yellow","2021-04-30 08:00:00"
"1552","EUR","Prelim Flash GDP q/q","-0.6%","-0.8%","-0.7%","yellow","2021-04-30 08:00:00"
"1553","EUR","Unemployment Rate","8.1%","8.3%","8.2%","yellow","2021-04-30 08:00:00"
"1554","CAD","GDP m/m","0.4%","0.5%","0.7%","orange","2021-04-30 04:30:00"
"1555","CAD","IPPI m/m","1.6%","1.5%","2.8%","yellow","2021-04-30 08:00:00"
"1556","CAD","RMPI m/m","2.3%","2.0%","6.5%","yellow","2021-04-30 08:00:00"
"1557","USD","Core PCE Price Index m/m","0.4%","0.3%","0.1%","yellow","2021-04-30 08:00:00"
"1558","USD","Employment Cost Index q/q","0.9%","0.7%","0.7%","yellow","2021-04-30 08:00:00"
"1559","USD","Personal Income m/m","21.1%","20.1%","-7.0%","yellow","2021-04-30 08:00:00"
"1560","USD","Personal Spending m/m","4.2%","4.3%","-1.0%","yellow","2021-04-30 08:00:00"
"1561","USD","Chicago PMI","72.1","65.4","66.3","yellow","2021-04-30 05:45:00"
"1562","USD","Revised UoM Consumer Sentiment","88.3","87.3","86.5","yellow","2021-04-30 06:00:00"
"1563","USD","Revised UoM Inflation Expectations","3.4%","","3.7%","yellow","2021-04-30 08:00:00"
"1564","AUD","AIG Manufacturing Index","61.7","","59.9","yellow","2021-05-02 14:30:00"
"1565","JPY","Bank Holiday","","","","grey","2021-05-02 08:00:00"
"1566","CNY","Bank Holiday","","","","grey","2021-05-02 08:00:00"
"1567","AUD","MI Inflation Gauge m/m","0.4%","","0.4%","yellow","2021-05-02 17:00:00"
"1568","AUD","ANZ Job Advertisements m/m","4.7%","","7.8%","yellow","2021-05-02 17:30:00"
"1569","EUR","German Retail Sales m/m","7.7%","2.9%","2.7%","yellow","2021-05-02 22:00:00"
"1570","AUD","Commodity Prices y/y","34.7%","","27.2%","yellow","2021-05-02 22:30:00"
"1571","EUR","Spanish Manufacturing PMI","57.7","59.1","56.9","yellow","2021-05-02 23:15:00"
"1572","CHF","Manufacturing PMI","69.5","66.4","66.3","yellow","2021-05-02 23:30:00"
"1573","EUR","Italian Manufacturing PMI","60.7","60.9","59.8","yellow","2021-05-02 23:45:00"
"1574","EUR","French Final Manufacturing PMI","58.9","59.2","59.2","yellow","2021-05-02 23:50:00"
