"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"2181",721.788194444444,2648,1833,14865.440888488,6000,7,5.06408070848255,20.5952951335396,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/30/1.5/10/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"225",721.788194444444,2628,1814,15067.6648689966,6000,7,5.06408070848255,20.8754659399688,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/30/1.5/10/2","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4161",721.788194444444,2605,1807,15349.2846652046,6000,9,5.29190625437821,21.2656355193213,"SEQ","EURGBP","15 mins/15 mins","10/20/2/40/2/30/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"235",721.788194444444,2563,1764,15508.6004582452,6000,7,5.06408070848255,21.4863592638586,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/30/1.5/10/2.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1451",721.788194444444,2429,1708,13693.5601380964,6000,7,5.53490232888576,18.9717153085833,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/40/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"951",721.788194444444,2285,1621,25834.8868900001,5131.66632,7,10,35.7928919991343,"SEQ","EURGBP","30 mins/15 mins","10/25/3/40/2/30/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1551",721.788194444444,2273,1597,9686.22807983959,6000,7,4.17023858026669,13.4197651809684,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/50/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"175",721.788194444444,1974,1394,9059.14334801316,6000,7,4.51280131682939,12.5509719024789,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/70/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"195",721.788194444444,1750,1254,13634.4942932963,6000,6,7.57703368408092,18.8898826528892,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/90/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1181",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/5/2/40/2/30/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
